"","บริษัท คลังสินค้า สุขุมวิท 101/1 จำกัด                   ","หน้า   :        1"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  9 มิ.ย. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VRS10304514  ","วันที่ : 09/06/2569"
"","หมวดสินค้าจาก","                  ","ถึง","9999"
"","คลังสินค้าจาก","01                ","ถึง","99"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","PL","","","","ล๊อตคงเหลือ","","  จำนวน","ราคาต่อหน่วย","มูลค่าในล๊อต"
"","01","คลังสำนักงานใหญ่"
"","","","001-08051-BLD","FENDER SUPER SONIC 100 412SL ENCL BLONDE","","","","","",1,"ตู้",21542.74,"",21542.74
"","","","001-08051-BLK","FENDER SUPER SONIC 100 412SL BLK/SILVER","","","","","",1,"ตู้",21542.74,"",21542.74
"","","","001-08372-CB","FENDER SPEAKER FM 412SL","","","","","",1,"ตู้",7258.46,"",7258.46
"","","","001-08378","FENDER CLASSICS VOLUME PEDAL","","","","","",2,"ตัว",,"",0.00
"","","","001-08379","FENDER CLASSICS VOLUME TONE PEDAL","","","","","",2,"ตัว",,"",0.00
"","","","001-08381","FENDER CLASSICS PHASER PEDAL","","","","","",1,"ตัว",,"",0.00
"","","","001-08505-009","FENDER MT-1000 METRONOME/TUNER RED","","","","","",7,"เครื่อง",,"",0.00
"","","","001-09029-810","FENDER AMP.810 PRO CABINET V2","","","","","",1,"ตู้",28697.13,"",28697.13
"","","","001-09105","SWR SPK. GOLIATH JR III 4 OHM","","","","","",1,"ตู้",,"",0.00
"","","","001-09114","SWR AMP.BASS 750X HEAD","","","","","",2,"เครื่อง",26422.86,"",52845.72
"","","","001-09151","SWR SPK. MARCUS MILLER GOLIGHT 4X10","","","","","",1,"ตู้",22159.35,"",22159.35
"","","","001-09152-410","SWR SPK. GOLIGHT 4X10 8 OHM","","","","","",3,"ตู้",20979.09,"",62937.27
"","","","001-09153-210","SWR SPK. GOLIGHT JUNIOR 2X10","","","","","",1,"ตู้",14959.00,"",14959.00
"","","","001-14660","FENDER ATA CASE STRAT","","","","","",1,"ใบ",,"",0.00
"","","","001-14662","FENDER CASE BASS STD P.BASS BLACK","","","","","",1,"ใบ",3912.77,"",3912.77
"","","","001-14732","FENDER DVD GET STARTED W/ACOUSTIC GUITAR","","","","","",10,"ชุด",,"",0.00
"","","","001-15007-227","JACKSON JS30 DMB","","","","","",1,"ตัว",,"",0.00
"","","","001-15007-285","JACKSON JS30 TBK JS","","","","","",1,"ตัว",,"",0.00
"","","","001-15007-286","JACKSON JS30 TB JS","","","","","",1,"ตัว",,"",0.00
"","","","001-15101-095","CHARVEL MODEL A PLUS WR","","","","","",1,"ตัว",,"",0.00
"","","","001-15103","CHARVEL GUITAR SAN DIMAS 25TH","","","","","",1,"ตัว",,"",0.00
"","","","002-01064-BLK","KORG PAD CONTROL KPC-1 BLACK","","","","","",7,"เครื่อง",3435.57,"",24049.00
"","","","002-01086","KORG NANO KEY MIDI CONTROLLER","","","","","",230,"เครื่อง",903.81,"",207875.35
"","","","002-01086-BLK","KORG NANO KEY MIDI CONTROLLER BLACK","","","","","",251,"เครื่อง",904.84,"",227114.61
"","","","002-01087","KORG NANO KONTROL","","","","","",91,"เครื่อง",1009.41,"",91856.28
"","","","002-01087-BLK","KORG NANO KONTROL BLACK","","","","","",54,"เครื่อง",1005.64,"",54304.56
"","","","002-01088","KORG NANO PAD","","","","","",99,"เครื่อง",101.47,"",10045.20
"","","","002-01089","KORG NANO BAG (POLYESTER)","","","","","",45,"ใบ",168.21,"",7569.45
"","","","002-01090","KORG USB-HUB FOR PC ACCESSORY","","","","","",31,"อัน",209.29,"",6488.10
"","","","002-01094","KORG SAMPLING MICROSAMPLER MS1","","","","","",15,"เครื่อง",8972.30,"",134584.47
"","","","002-01125","KORG SYNTHESIZER KINGKORG","","","","","",2,"เครื่อง",19564.00,"",39128.00
"","บริษัท คลังสินค้า สุขุมวิท 101/1 จำกัด                   ","หน้า   :        2"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  9 มิ.ย. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VRS10304514  ","วันที่ : 09/06/2569"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","","","002-01132-25","KORG MIDI CONTROLLER TAKTILE 25 KEY","","","","","",8,"เครื่อง",4174.00,"",33392.00
"","","","002-01133","KORG MONOPHONIC SYNTHESIZER MS-20 KIT","","","","","",1,"เครื่อง",22680.00,"",22680.00
"","","","002-01136-25","KORG TRITON TAKTILE 25 KEY","","","","","",1,"เครื่อง",5749.00,"",5749.00
"","","","002-01139","KORG SYTHN. MOD MS-20M KIT+SQ-1","","","","","",1,"เครื่อง",17881.00,"",17881.00
"","","","002-01150-BK","KORG PLUGKEY BLACK","","","","","",6,"เครื่อง",1744.00,"",10464.00
"","","","002-01150-WH","KORG PLUGKEY WHITE","","","","","",9,"เครื่อง",1740.00,"",15660.00
"","","","002-01163-HP","KORG D-1 WIRELESS IR HEADPHONES IS430","","","","","",4,"ชุด",615.05,"",2460.20
"","","","002-02024","KORG TUBE PRE AMP TP-2","","","","","",3,"เครื่อง",,"",0.00
"","","","002-02032","KORG KAOSS PAD QUAD","","","","","",21,"เครื่อง",4501.93,"",94540.53
"","","","002-03036","KORG AMP WORK","","","","","",9,"เครื่อง",,"",0.00
"","","","002-03050","KORG EFFECTOR PX-4A","","","","","",21,"เครื่อง",,"",0.00
"","","","002-03052-ST","KORG DRUM STAND ST-BTL","","","","","",27,"ตัว",,"",0.00
"","","","002-03053","KORG EFFECTOR AX-3B","","","","","",44,"เครื่อง",,"",0.00
"","","","002-03061","KORG EFFECTOR PX-5D","","","","","",10,"เครื่อง",4576.49,"",45764.90
"","","","002-03075","KORG PANDORA PX-MINI WHITE","","","","","",37,"เครื่อง",1619.07,"",59905.59
"","","","002-03095","KORG EFFECTS NUVIBE VIBRATO CHORUS","","","","","",9,"เครื่อง",8154.00,"",73386.00
"","","","002-05012","KORG TUNER DTR-1K","","","","","",5,"เครื่อง",,"",0.00
"","","","002-05019","KORG TUNER DT-7","","","","","",13,"เครื่อง",,"",0.00
"","","","002-05034","KORG TUNER LCA-120","","","","","",43,"เครื่อง",,"",0.00
"","","","002-05040","KORG MICROPHONE CM-100L","","","","","",5,"ตัว",123.49,"",617.45
"","","","002-05053-RD","KORG TUNER PITCHBLACK PB-04 RED","","","","","",3,"เครื่อง",1203.21,"",3609.63
"","","","002-05053-SI","KORG TUNER PITCHBLACK PB-04 SILVER","","","","","",8,"เครื่อง",1203.21,"",9625.68
"","","","002-05072","KORG TUNER WDT-1 WALL DISPLAY","","","","","",6,"เครื่อง",3578.14,"",21468.84
"","","","002-05104-BLU","KORG MICROMETRO MCM-1 BLUE","","","","","",20,"เครื่อง",188.57,"",3771.40
"","","","002-05104-RED","KORG MICROMETRO MCM-1 RED","","","","","",24,"เครื่อง",188.57,"",4525.68
"","","","002-05106-BK","KORG METRONOME HUMIDI-BEAT HB-1 BLACK","","","","","",22,"เครื่อง",577.12,"",12696.64
"","","","002-05106-WH","KORG METRONOME HUMIDI-BEAT HB-1 WHITE","","","","","",14,"เครื่อง",577.12,"",8079.68
"","","","002-05108","KORG BEAT BOY","","","","","",210,"เครื่อง",1426.00,"",299460.00
"","","","002-05109","KORG METRONOME SYNCDANCINC SY-1D","","","","","",7,"เครื่อง",901.17,"",6308.19
"","","","002-05112","KORG SYNCMETRONOME SY-1M","","","","","",20,"เครื่อง",512.14,"",10242.80
"","","","002-06031","KORG KEYBOARD OPTION EXB-FW","","","","","",5,"ชุด",,"",0.00
"","","","002-07003","KORG EXPRESSION PEDAL EXP-2","","","","","",3,"ตัว",1037.63,"",3112.89
"","","","002-07005","KORG A/C ADAPTER 9V KA179 / AK119","","","","","",2,"ตัว",,"",0.00
"","","","002-07011","VOX VFS-2 PEDAL SWITCH","","","","","",1,"ตัว",506.40,"",506.40
"","","","002-07016","VOX VOLUME PEDAL V860","","","","","",36,"ตัว",2048.75,"",73755.00
"","บริษัท คลังสินค้า สุขุมวิท 101/1 จำกัด                   ","หน้า   :        3"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  9 มิ.ย. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VRS10304514  ","วันที่ : 09/06/2569"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","","","002-07502","KORG GIG BAG WAVE DRUM","","","","","",16,"ใบ",523.50,"",8376.00
"","","","002-07504","KORG SP-170 DUST COVER #KDS1317C","","","","","",25,"ผืน",93.01,"",2325.25
"","","","002-07506","KORG SPST-1W-BK","","","","","",9,"ชุด",1864.50,"",16780.50
"","","","002-07509","KORG GIG BAG KEYBOARD MICROSTATION MW-1","","","","","",12,"ใบ",647.00,"",7764.00
"","","","002-07512","KORG SPST-1W-RD","","","","","",12,"ชุด",1760.59,"",21127.06
"","","","002-07513-61","KORG HARD CASE KRONOS 61 KEYS","","","","","",2,"ใบ",6217.95,"",12435.90
"","","","002-07515","KORG GIG BAG TONELAB EX (SC-TL/EX)","","","","","",61,"ใบ",215.01,"",13115.61
"","","","002-07516","KORG SOFT CASE MONOTRON","","","","","",90,"ใบ",223.34,"",20100.60
"","","","002-07519","KORG SOFT CASE MS20 MINI","","","","","",11,"ใบ",1032.00,"",11352.00
"","","","002-07521","KORG PIANO MAT NYLON (พรม)","","","","","",7,"ผืน",1857.15,"",13000.05
"","","","002-07522-61","KORG HARD CASE KRONOS-2 61 KEY","","","","","",2,"ใบ",3060.00,"",6120.00
"","","","002-07524","KORG KEYBOARD STAND HAVIAN 30 (ST-H30-BK)","","","","","",2,"ชุด",2133.00,"",4266.00
"","","","002-07527","KORG KEYBOARD STAND STANDARD M-SV","","","","","",3,"ชุด",5631.74,"",16895.22
"","","","002-07528","VOX KEYBOARD STAND ST CONTINENTAL","","","","","",1,"ชุด",5683.45,"",5683.45
"","","","002-10011","KORG MR-1 DIGITAL RECORDER","","","","","",3,"เครื่อง",,"",0.00
"","","","002-10018","KORG STUDIO RECORDER MR-2000S","","","","","",2,"เครื่อง",30864.00,"",61728.00
"","","","002-10019","KORG RECORDER SOUND ON SOUND SR-1","","","","","",12,"เครื่อง",4434.24,"",53210.90
"","","","002-10112","KORG SC-MICRO-MSG GIG BAG (MICRO SAMPLER)","","","","","",17,"ใบ",359.87,"",6117.79
"","","","002-11028","VOX AMP.AC50 CPH","","","","","",1,"เครื่อง",,"",0.00
"","","","002-11036","VOX AMP SOFTWARE JAMVOX JV-1","","","","","",41,"ตู้",3626.25,"",148676.15
"","","","002-11059","VOX AMP. GUITAR VT80+","","","","","",7,"ตู้",6526.43,"",45685.00
"","","","002-11070","VOX AMP. GUITAR TB35C1","","","","","",5,"ตู้",18563.82,"",92819.10
"","","","002-11071","VOX AMP. GUITAR TB35C2","","","","","",6,"ตู้",22715.77,"",136294.59
"","","","002-11072","VOX AMP. GUITAR NT2H (HEAD)","","","","","",1,"เครื่อง",3211.00,"",3211.00
"","","","002-11085","VOX AMP. GUITAR NT50H-G2 HEAD","","","","","",1,"เครื่อง",12123.99,"",12123.99
"","","","002-11086-NT","VOX SPEAKER V212NT-G2 (CABINET)","","","","","",2,"ตู้",10005.58,"",20011.16
"","","","002-11098-15","VOX AMP. GUITAR AC-15 CUSTOM HEAD","","","","","",4,"เครื่อง",10803.00,"",43212.00
